Scene ID,Product Annot,Seen On,Price,Slashed Price,Title,Free Gift,Sizes,Colors,Discount Code,Discount Message,Product Link,Picture URL,Features,Notes 
25,2,,RM199.00,RM179.10,Bloom By Naelofar Hijab (3pcs set,NH Hijab Perfume x 1 (Assorted),,"Peachskin, Meteorite, Pigeon",,,http://www.goshop.com.my/prd/20042419.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/24/19/20042419_06_1200.jpg,Heavy Chiffon with Swarovski Coloured Xirius Crystal and Swarovski Aurora Borealis (AB),
26,1,,RM691.00,RM621.90,Timberland Newmarket Black Leather Strap Men Watch ,,,,,,http://www.goshop.com.my/prd/20041746.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/17/46/20041746_02_400.jpg,"Case size 45 mm
Ion-plated stainless steel case
Leather strap
Date function
Water-resistant to 100 meters",
26,2,,RM159.00,RM143.10,Leanen Tudung Sarung Siti Hajar,Inner Neck x 1,,"Mild Brown, Blue, Navy Blue, Black",,,http://www.goshop.com.my/prd/20040336.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/03/36/20040336_01_400.jpg,"Made from cooling Lycra material 
Fuss free design 
Easy to wear and get ready in instant 
Comfortable & laidback get-up 
",
27,1,,RM306.00,RM143.10,Casio Men Watch (MTP-1309D-1B),,,,,,http://www.goshop.com.my/prd/20046627.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/66/27/20046627_02_400.jpg,"Quartz Movement 
 50 Meters / 165 Feet / 5 ATM Water Resistant 
 38mm Case Diameter 
 Mineral Crystal ",
27,2,,RM78.00,RM70.20,Comfort Square Cushion,,,"Purple, Blue, Brown, Orange, Red, Grey",,,http://www.goshop.com.my/prd/20009207.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/92/07/20009207_01_1200.jpg,"Polyester Fabric
",
28,1,,RM199.00,RM179.10,Hawa Adara Tudung Baiduri Set (4pcs set),Inner in Black Color x 1,,"Mangosteen, Red, Light Brown, Green",,,http://www.goshop.com.my/prd/20035124.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/51/24/20035124_01_400.jpg,"Embellishment 
Timeless Hues
Easy to wear and get ready in an instant 
Made from Heavy Chiffon material
",
28,2,,RM75.00,RM67.50,ASOTV Amazing Cake Stand and 3-Tier Snack Server Stand (CS+SER),,,,,,http://www.goshop.com.my/prd/20042120.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/21/20/20042120_01_400.jpg,"Assembly is quick and easy
Perfect for cupcakes, brownies, cookies and more
Normal display stands 31 cm tall
Made from sturdy PVC",
29,1,,RM249.00,RM224.10,Strom Gas Stove,,,,,,http://www.goshop.com.my/prd/20011619.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/16/19/20011619_01_400.jpg,"Designed with the right balance of conventional and modern cooking features 
Made of tempered glass 
Infrared low gas consumption 
Faster cooking time 
",
29,2,,RM499.00,RM449.10,Happycall Diamond Frying Pan Value Set,,"28cm Frying Pan 
28cm Wok Pan 
28cm Double handed wok 
28cm Glass Lid ",,,,http://www.goshop.com.my/prd/20033521.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/35/21/20033521_01_400.jpg,"Five-layer diamond DNC coating & resistant to scratches and corrosion 
Smooth non-stick surface
High quality aluminum body & peel-free porcelain
Lightweight & consistent heat distribution",
29,3,,RM199.00,RM179.10,Bloom By Naelofar Hijab (3pcs set,,,"Peachskin, Meteorite, Pigeon",,,http://www.goshop.com.my/prd/20042419.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/24/19/20042419_06_1200.jpg,,
29,4,,RM159.00,RM143.10,Leanen Tudung Sarung Siti Hajar,,,"Mid brown, Teal, Navy blue, Black 
Light Maroon ",,,http://www.goshop.com.my/prd/20040336.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/03/36/20040336_01_1200.jpg,,
30,1,,RM1399.00,RM1259.10,Nesthouz Tucson 2+3 Sofa Set with Free Coffee Table,Coffee Table,"2 seater sofa: 1135mm (Width) x 850mm (Depth) x 775mm (Height) x 420 mm (Seat Height) 
3 seater sofa: 1623mm (Width) x 845mm (Depth) x 775mm (Height) x 420 mm (Seat Height) 
Coffee Table: 1050mm (Long) x 560mm (Width) x 110mm (Height)",,,,http://www.goshop.com.my/prd/20035133.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/51/32/20035132_04_1200.jpg,"High backrest
Sturdy rubber wood frame construction
Easy to care ",
30,2,,RM199.00,RM179.10,Bloom By Naelofar Hijab (3pcs set),,,"Peachskin, Meteorite, Pigeon",,,http://www.goshop.com.my/prd/20042419.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/24/19/20042419_06_1200.jpg,,
31,1,,RM199.00,RM179.10,Bloom By Naelofar Hijab (3pcs set),,,"Peachskin, Meteorite, Pigeon",,,http://www.goshop.com.my/prd/20042419.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/24/19/20042419_06_1200.jpg,,
31,2,,RM299.00,RM269.10,ELLE Avery 3-in-1 Set,,,"Black, Pink, Blue, Deep Purple",,,http://www.goshop.com.my/prd/20037420.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/74/20/20037420_01_400.jpg,"3-in-1 set
Made from lightweight water resistant Nylon
Roomy interior and compartments",
32,1,,RM199.00,RM179.10,Bloom By Naelofar Hijab (3pcs set),,,"Peachskin, Meteorite, Pigeon",,,http://www.goshop.com.my/prd/20042419.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/24/19/20042419_06_400.jpg,,
32,2,,RM69.00,RM62.10,Essina Cotton Microfiber Queen Fitted Sheet,,190cm(L) X 153CM(W) X 25CM(H),White,,,http://www.goshop.com.my/prd/20044021.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/40/21/20044021_01_1200.jpg,"Made of Microfiber Plush,400 Thread Count
Set includes:1 x fitted bedsheet,2 x pillow cases ,1 x bolster case
",
33,1,,RM149.00,RM134.10,Emy Dahlia Tudung Lyasary Set (5pcs set),"3 pieces x Inner Tudung (comes in 3 colors, Black, Brown, Grey)",,"Brown, Dusty Blue, Pink, Yellow, Green",,,http://www.goshop.com.my/prd/20025320.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/53/20/20025320_09_400.jpg,"Lycra - soft, cool and do not cling to body or cloths",
33,2,,RM81.00,RM72.90,Claytan Tea Set (12pcs),,,,,,http://www.goshop.com.my/prd/20029323.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/93/23/20029323_03_1200.jpg,"Dishwasher, Oven & Microwave safe
Strong chip resistant
Strong glaze durability (scratch resistant)",
